Date,Terminal,Product,TGP_Excluding_GST,GST,TGP_Including_GST
20/03/2026,Hastings,ULP,197.72,19.77,217.49
20/03/2026,Hastings,E10,197.65,19.77,217.42
20/03/2026,Hastings,P95,220.15,22.02,242.17
20/03/2026,Hastings,P98,227.70,22.77,250.48
20/03/2026,Hastings,DIS,242.30,24.23,266.53
20/03/2026,Hastings,PREDIS,244.12,24.41,268.53
20/03/2026,Yarraville,ULP,197.72,19.77,217.49
20/03/2026,Yarraville,E10,197.65,19.77,217.42
20/03/2026,Yarraville,P95,220.15,22.02,242.17
20/03/2026,Yarraville,P98,227.70,22.77,250.48
20/03/2026,Yarraville,DIS,242.30,24.23,266.53
20/03/2026,Yarraville,PREDIS,244.12,24.41,268.53
20/03/2026,Sydney,ULP,196.99,19.70,216.69
20/03/2026,Sydney,E10,196.83,19.68,216.52
20/03/2026,Sydney,P95,220.76,22.08,242.84
20/03/2026,Sydney,P98,229.24,22.92,252.16
20/03/2026,Sydney,DIS,242.52,24.25,266.77
20/03/2026,Sydney,PREDIS,244.33,24.43,268.77
20/03/2026,Brisbane,ULP,201.48,20.15,221.63
20/03/2026,Brisbane,E10,199.34,19.93,219.28
20/03/2026,Brisbane,P95,217.53,21.75,239.29
20/03/2026,Brisbane,P98,232.12,23.21,255.33
20/03/2026,Brisbane,DIS,243.60,24.36,267.96
20/03/2026,Brisbane,PREDIS,245.41,24.54,269.96
20/03/2026,Brisbane,B5,247.25,24.72,271.97
20/03/2026,Gladstone,ULP,205.22,20.52,225.74
20/03/2026,Gladstone,E10,201.23,20.12,221.35
20/03/2026,Gladstone,P95,215.09,21.51,236.60
20/03/2026,Gladstone,P98,,,
20/03/2026,Gladstone,DIS,243.10,24.31,267.41
20/03/2026,Gladstone,PREDIS,244.92,24.49,269.41
20/03/2026,Mackay,ULP,205.35,20.54,225.89
20/03/2026,Mackay,E10,203.86,20.39,224.24
20/03/2026,Mackay,P95,217.54,21.75,239.29
20/03/2026,Mackay,P98,220.42,22.04,242.46
20/03/2026,Mackay,DIS,243.85,24.39,268.24
20/03/2026,Mackay,PREDIS,245.67,24.57,270.24
20/03/2026,Townsville,ULP,205.30,20.53,225.83
20/03/2026,Townsville,E10,206.30,20.63,226.93
20/03/2026,Townsville,P95,225.87,22.59,248.46
20/03/2026,Townsville,P98,243.14,24.31,267.45
20/03/2026,Townsville,DIS,245.98,24.60,270.58
20/03/2026,Townsville,PREDIS,247.80,24.78,272.58
20/03/2026,Cairns,ULP,204.15,20.41,224.56
20/03/2026,Cairns,E10,214.89,21.49,236.38
20/03/2026,Cairns,P95,221.01,22.10,243.11
20/03/2026,Cairns,P98,,,
20/03/2026,Cairns,DIS,244.02,24.40,268.43
20/03/2026,Cairns,PREDIS,245.84,24.58,270.43
20/03/2026,Port Alma,DIS,243.10,24.31,267.41
20/03/2026,Adelaide,ULP,196.25,19.62,215.87
20/03/2026,Adelaide,E10,192.53,19.25,211.78
20/03/2026,Adelaide,P95,213.01,21.30,234.31
20/03/2026,Adelaide,P98,228.09,22.81,250.90
20/03/2026,Adelaide,DIS,239.20,23.92,263.12
20/03/2026,Adelaide,PREDIS,241.02,24.10,265.12
20/03/2026,Perth,ULP,198.61,19.86,218.48
20/03/2026,Perth,E10,,,
20/03/2026,Perth,P95,217.07,21.71,238.78
20/03/2026,Perth,P98,232.54,23.25,255.79
20/03/2026,Perth,DIS,240.46,24.05,264.50
20/03/2026,Perth,PREDIS,242.27,24.23,266.50
20/03/2026,Darwin,ULP,203.02,20.30,223.32
20/03/2026,Darwin,E10,,,
20/03/2026,Darwin,P95,222.10,22.21,244.31
20/03/2026,Darwin,P98,,,
20/03/2026,Darwin,DIS,243.09,24.31,267.40
20/03/2026,Darwin,PREDIS,244.91,24.49,269.40
20/03/2026,Bell Bay,ULP,203.33,20.33,223.67
20/03/2026,Bell Bay,E10,203.49,20.35,223.84
20/03/2026,Bell Bay,P95,220.28,22.03,242.31
20/03/2026,Bell Bay,P98,224.18,22.42,246.60
20/03/2026,Bell Bay,DIS,246.59,24.66,271.25
20/03/2026,Bell Bay,PREDIS,248.41,24.84,273.25
20/03/2026,Broome,ULP,224.96,22.50,247.46
20/03/2026,Broome,E10,,,
20/03/2026,Broome,P95,242.52,24.25,266.78
20/03/2026,Broome,P98,,,
20/03/2026,Broome,DIS,249.61,24.96,274.57
